98,0.9018178729136298,Female,no,Wed,evening,2
81,3.6623255440024005,Female,yes,Sat,morning,3
61,2.4266373895818436,Male,yes,Sun,evening,3
98,2.081056244536213,Female,no,Mon,evening,2
86,1.554257461418664,Male,yes,Fri,morning,1
54,2.709928312076511,Female,no,Thu,morning,3
71,0.07211155982615935,Male,no,Thu,evening,1
93,3.3158316529293823,Male,no,Tue,evening,2
73,3.6095334482895716,Female,yes,Tue,morning,3
81,1.8708943230263189,Female,no,Sun,afternoon,2
77,0.6317123672197925,Female,yes,Sun,afternoon,1
64,2.9797250040961094,Female,yes,Wed,morning,3
86,1.0251438794657297,Female,yes,Tue,evening,3
58,0.29938779077436684,Male,no,Tue,evening,2
81,3.4991839363268267,Female,no,Sat,morning,3
65,2.752279108998478,Female,yes,Wed,morning,2
59,1.439813378527607,Female,yes,Wed,afternoon,2
68,1.2338488296394337,Male,yes,Tue,afternoon,2
88,0.422029264591512,Female,yes,Mon,morning,1
62,3.1771683628253635,Male,yes,Sat,morning,1
92,0.46684930619975795,Male,yes,Tue,evening,1
94,1.2450164682160132,Female,no,Sat,afternoon,3
93,2.197013766838594,Female,no,Wed,morning,2
70,3.8123466312304704,Male,yes,Tue,afternoon,2
62,0.08708895661913196,Female,no,Fri,morning,3
75,1.206024775352267,Male,no,Mon,afternoon,2
67,0.8755668447589053,Female,yes,Sat,evening,1
63,0.43186596598555305,Female,yes,Mon,afternoon,3
50,2.976580392923092,Male,yes,Sun,evening,3
100,3.2157621428873036,Female,yes,Sat,afternoon,3
99,1.1216071681307644,Female,no,Mon,evening,3
66,2.3249195912105702,Male,yes,Sun,evening,3
58,0.6502785447420765,Female,no,Sat,evening,3
55,3.2646355034456294,Female,yes,Tue,evening,3
74,1.9828159992139975,Female,yes,Fri,morning,2
75,3.570149413526445,Female,no,Sat,evening,3
86,0.10915009181453794,Female,no,Tue,afternoon,2
67,2.9499207794752005,Female,yes,Mon,evening,2
